",user_left,user_right,read_set_similarity,read_list_distance,read_list_similarity"
"0,-Anastasiia-,RitaBorisovna,0.06779661016949153,0.004129405114177587,0.0002799596687578025"
"0,-Anastasiia-,Robin3207,0.06666666666666667,0.005865153227565645,0.000391010215171043"
"0,-Anastasiia-,RozenbergBarrio,0.06666666666666667,0.004089996689521369,0.00027266644596809125"
"0,-Anastasiia-,SafiaDis,0.075,0.006734083335155461,0.0005050562501366596"
"0,-Anastasiia-,Sahara_154,0.075,0.0012730749910095929,9.548062432571946e-05"
"0,-Anastasiia-,Samaya-Samaya,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,SashaBelopushkina,0.125,0.0061162653263812095,0.0007645331657976512"
"0,-Anastasiia-,SashaKazakova,0.1282051282051282,0.003454241755120435,0.0004428515070667224"
"0,-Anastasiia-,SeryakHoldbacks,0.05,0.008163401865824427,0.00040817009329122134"
"0,-Anastasiia-,ShakeSpea,0.075,0.0013821706674902456,0.00010366280006176842"
"0,-Anastasiia-,ShatalovaViktoriya,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,Sindalin,0.05172413793103448,0.01709527678657774,0.000884238454478159"
"0,-Anastasiia-,SonyaSeverina,0.03333333333333333,0.0013821706674902456,4.607235558300819e-05"
"0,-Anastasiia-,SpringSoul,0.125,0.031670336268511456,0.003958792033563932"
"0,-Anastasiia-,Stasik_13,0.175,0.0061162653263812095,0.0010703464321167116"
"0,-Anastasiia-,Straypot,0.1,0.005167993252386149,0.000516799325238615"
"0,-Anastasiia-,SvetsSvetlana,0.07692307692307693,0.0015961702114104526,0.0001227823239546502"
"0,-Anastasiia-,TEAnottea,0.0847457627118644,0.01671965838828282,0.0014169202023968492"
"0,-Anastasiia-,TaberComplin,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,TasyaLukyanchenko,0.075,0.0014760155646608153,0.00011070116734956114"
"0,-Anastasiia-,TatyaBelonozhko,0.06666666666666667,0.007757361052522338,0.0005171574035014892"
"0,-Anastasiia-,Terry21,0.075,0.029857499854668124,0.002239312489100109"
"0,-Anastasiia-,TirrellStarter,0.1,0.007426846423163935,0.0007426846423163936"
"0,-Anastasiia-,Tori_213,0.025974025974025976,0.0061162653263812095,0.00015886403445145998"
"0,-Anastasiia-,ValMansh,0.09375,0.0061162653263812095,0.0005733998743482384"
"0,-Anastasiia-,Valeriaaaa,0.075,0.016292344660412184,0.0012219258495309137"
"0,-Anastasiia-,ValerieBolern,0.1,0.010050506338833531,0.001005050633883353"
"0,-Anastasiia-,ValeriyaZhuravel,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,Vallessa_ua,0.03333333333333333,0.001346575261567562,4.4885842052252065e-05"
"0,-Anastasiia-,VatylNastya,0.05,0.009007569589676745,0.00045037847948383727"
"0,-Anastasiia-,VeronikaGlazova,0.125,0.010841516847612365,0.0013551896059515456"
"0,-Anastasiia-,VictoriaTomchina,0.075,0.005464157642812384,0.0004098118232109288"
"0,-Anastasiia-,VikaBlack,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,Viking-,0.11428571428571428,0.004129405114177587,0.00047193201304886705"
"0,-Anastasiia-,VitaminkaBooks,0.075,0.0014760155646608153,0.00011070116734956114"
"0,-Anastasiia-,WindNorthern,0.18421052631578946,0.005063323673818121,0.0009327175188612327"
"0,-Anastasiia-,Xiao-Kakao,0.075,0.005464157642812384,0.0004098118232109288"
"0,-Anastasiia-,Xot4toli,0.075,0.0013821706674902456,0.00010366280006176842"
"0,-Anastasiia-,YoriMe,0.039473684210526314,0.02286016359632248,0.0009023748788022032"
"0,-Anastasiia-,Yuli_books,0.075,0.0017256268250041007,0.00012942201187530754"
"0,-Anastasiia-,YuliaCher,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,Yulia_Redkina,0.1,0.0014760155646608153,0.00014760155646608155"
"0,-Anastasiia-,YuliyaStarchak,0.075,0.029857499854668124,0.002239312489100109"
"0,-Anastasiia-,ZH_ZH_ZH,0.075,0.002490663892366851,0.00018679979192751383"
"0,-Anastasiia-,Zaytseva_Katya,0.03773584905660377,0.029857499854668124,0.0011266981077233255"
"0,-Anastasiia-,Zimasova,0.0625,0.003993481192393844,0.00024959257452461525"
"0,-Anastasiia-,Zooms,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Zurahi,0.05,0.02286016359632248,0.001143008179816124"
"0,-Anastasiia-,_Alinochka_,0.1,0.006600732201217041,0.0006600732201217041"
"0,-Anastasiia-,_Kseniya_210795,0.05,0.04043101834985452,0.002021550917492726"
"0,-Anastasiia-,__polya__,0.15,0.00513001277029701,0.0007695019155445514"
"0,-Anastasiia-,_arinaa_,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,_assolka_,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,_booklover_,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,_libros_libres_,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,_mor_ana_,0.1,0.004089996689521369,0.0004089996689521369"
"0,-Anastasiia-,_nystyy_,0.1,0.004129405114177587,0.0004129405114177587"
"0,-Anastasiia-,ajo110299,0.15,0.005623287315631109,0.0008434930973446664"
"0,-Anastasiia-,akamoru,0.03333333333333333,0.0061162653263812095,0.00020387551087937364"
"0,-Anastasiia-,ali_requin,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,angelinaorlova10311,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,anikolaeva039,0.1016949152542373,0.011504776431598529,0.001169977264230359"
"0,-Anastasiia-,animeshkadaz,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,ann_lagun,0.05263157894736842,0.0012730749910095929,6.700394689524172e-05"
"0,-Anastasiia-,annettaaaa,0.1,0.0009847368218079966,9.847368218079966e-05"
"0,-Anastasiia-,anstasiaski,0.1,0.004129405114177587,0.0004129405114177587"
"0,-Anastasiia-,bloodkeeper,0.05,0.015663356752696256,0.0007831678376348128"
"0,-Anastasiia-,bookesm,0.06666666666666667,0.0011869440384786323,7.912960256524215e-05"
"0,-Anastasiia-,brispell,0.0625,0.0061162653263812095,0.0003822665828988256"
"0,-Anastasiia-,chitayushchiy,0.05084745762711865,0.0011869440384786323,6.035308670230334e-05"
"0,-Anastasiia-,coffwwo,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,dashagolubeva,0.18333333333333332,0.009152999813907714,0.0016780499658830808"
"0,-Anastasiia-,deelaym,0.075,0.0013489093468531665,0.00010116820101398748"
"0,-Anastasiia-,defilement,0.075,0.0010732495713665635,8.049371785249226e-05"
"0,-Anastasiia-,diana4848lisa,0.05,0.015216441182063223,0.0007608220591031611"
"0,-Anastasiia-,dianaostankova24,0.05063291139240506,0.004129405114177587,0.00020908380324949805"
"0,-Anastasiia-,drarriman,0.07017543859649122,0.0010938927613280969,7.676440430372609e-05"
"0,-Anastasiia-,eva_lunna,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,griffitibk,0.075,0.009007569589676745,0.0006755677192257558"
"0,-Anastasiia-,i-Notka,0.13157894736842105,0.0061162653263812095,0.0008047717534712118"
"0,-Anastasiia-,i_sonya,0.16216216216216217,0.0033134178116892565,0.0005373109964901498"
"0,-Anastasiia-,istar1,0.06666666666666667,0.0011869440384786323,7.912960256524215e-05"
"0,-Anastasiia-,juletta,0.075,0.02286016359632248,0.001714512269724186"
"0,-Anastasiia-,k_kristina5,0.06779661016949153,0.005063323673818121,0.0003432761812758048"
"0,-Anastasiia-,katitut,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,kg010503,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,kitorozhek,0.0759493670886076,0.0019102214195005907,0.00014508010781017145"
"0,-Anastasiia-,kleventina__stark,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,kotyarko,0.125,0.014837872486939463,0.0018547340608674329"
"0,-Anastasiia-,kovtunovaea2001,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,krol1402,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,kurti,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,lanalenz,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,lerasigareva94,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,liceym2004,0.05,0.0022148421433909604,0.00011074210716954802"
"0,-Anastasiia-,liz_ku19,0.075,0.0012730749910094818,9.548062432571114e-05"
"0,-Anastasiia-,lkononova336,0.05172413793103448,0.005865153227565645,0.0003033699945292575"
"0,-Anastasiia-,lonahelenk,0.03333333333333333,0.0061162653263812095,0.00020387551087937364"
"0,-Anastasiia-,lovebooks30,0.075,0.015151515151515138,0.0011363636363636352"
"0,-Anastasiia-,lukumissme,0.075,0.01959327866128946,0.0014694958995967093"
"0,-Anastasiia-,marrbooks,0.05,0.029857499854668124,0.0014928749927334063"
"0,-Anastasiia-,mertvij_angel,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,missisbroccoli,0.075,0.0011869440384786323,8.902080288589741e-05"
"0,-Anastasiia-,momento_libro,0.075,0.0015961702114104526,0.00011971276585578394"
"0,-Anastasiia-,monstre_sota_el_llit,0.05,0.007722123286332261,0.00038610616431661304"
"0,-Anastasiia-,mzdasha200317,0.11764705882352941,0.004129405114177587,0.00048581236637383374"
"0,-Anastasiia-,nasstyab,0.08620689655172414,0.01709323522256534,0.0014735547605659776"
"0,-Anastasiia-,nastiamishka2007,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,nkrivono,0.03333333333333333,0.0061162653263812095,0.00020387551087937364"
"0,-Anastasiia-,np1592241,0.1,0.004129405114177587,0.0004129405114177587"
"0,-Anastasiia-,olenje,0.125,0.005063323673818121,0.0006329154592272651"
"0,-Anastasiia-,privateer,0.10526315789473684,0.0008319468994225643,8.757335783395413e-05"
"0,-Anastasiia-,prostto_julia,0.075,0.008163401865824427,0.000612255139936832"
"0,-Anastasiia-,reader-3481246,0.1,0.006600732201217041,0.0006600732201217041"
"0,-Anastasiia-,reader-3487210,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,reader-3627844,0.08620689655172414,0.004129405114177587,0.00035598319949806784"
"0,-Anastasiia-,reader-5139643,0.06779661016949153,0.02017274791297441,0.0013676439263033498"
"0,-Anastasiia-,reader-5384296,0.075,0.029857499854668124,0.002239312489100109"
"0,-Anastasiia-,reader-5481088,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,reader-6088120,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,rory_gilmore,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,rusalka_kat,0.08771929824561403,0.01478824518032551,0.0012972144895022377"
"0,-Anastasiia-,sa_dorik,0.15,0.004362433625553774,0.0006543650438330662"
"0,-Anastasiia-,sb_book,0.1,0.004129405114177587,0.0004129405114177587"
"0,-Anastasiia-,serpenseptem,0.075,0.0018850158136836104,0.00014137618602627077"
"0,-Anastasiia-,sizotov65,0.06521739130434782,0.002490663892366851,0.00016243460167609898"
"0,-Anastasiia-,soff_kka,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,sokevg,0.075,0.007722123286332261,0.0005791592464749196"
"0,-Anastasiia-,sveta_bond,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,t04ka,0.03333333333333333,0.010050506338833531,0.0003350168779611177"
"0,-Anastasiia-,tastybread,0.05172413793103448,0.005063323673818121,0.00026189605209404074"
"0,-Anastasiia-,tinybooker,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,ttaty_lu,0.05128205128205128,0.029857499854668124,0.0015311538387009294"
"0,-Anastasiia-,tygydykanna52,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,vbpvs,0.05,0.0011869440384786323,5.9347201923931615e-05"
"0,-Anastasiia-,veter_chitaet,0.05063291139240506,0.020204102886728914,0.0010229925512267805"
"0,-Anastasiia-,vreeedinkaaa,0.0967741935483871,0.005063323673818121,0.0004899990652082052"
"0,-Anastasiia-,vvnnss,0.075,0.0061162653263812095,0.0004587198994785907"
"0,-Anastasiia-,witch_fairy,0.05,0.009007569589676745,0.00045037847948383727"
"0,-Anastasiia-,xeniiabiriuk,0.075,0.001689921451561438,0.00012674410886710785"
"0,-Anastasiia-,yanakirillovaR,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,yemelianovanadejda,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,yummyya,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Blackwater-,Custodian,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Blackwater-,DaRealMaN_,0.03389830508474576,0.0022148421433909604,7.5079394691219e-05"
"0,-Blackwater-,PaisovaViktoriya,0.05,0.0017256268250042117,8.62813412502106e-05"
"0,-Blackwater-,PfnisterBravas,0.05,0.02748850308478601,0.0013744251542393005"
"0,-Blackwater-,matv581,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Blackwater-,taniasemenikhina,0.03333333333333333,0.0017256268250041007,5.7520894166803356e-05"
"0,-Dvar-,89258068414,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Dvar-,AleksandraFilippovich,0.1,0.004098158824188958,0.00040981588241889577"
"0,-Dvar-,Altorina,0.075,0.0016858301208827475,0.00012643725906620606"
"0,-Dvar-,AnastasiyaKutsak,0.075,0.005865153227565867,0.00043988649206743997"
"0,-Dvar-,Anyalewis,0.1,0.0017270940604819929,0.0001727094060481993"
"0,-Dvar-,ArinaChuvachko,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Dvar-,Baka_Yana,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Dvar-,Cheska,0.05,0.0022148421433910714,0.00011074210716955358"
"0,-Dvar-,Eternal_Reader,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Dvar-,Evgenia92,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Dvar-,FloreyGuttate,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Dvar-,FrozenToca,0.075,0.004411303125973265,0.0003308477344479949"
"0,-Dvar-,Ginger_Elk,0.075,0.0047506206913675575,0.0003562965518525668"
"0,-Dvar-,Heavydirtysouul,0.075,0.0061162653263812095,0.0004587198994785907"
"0,-Dvar-,Isinca,0.0375,0.013559949584378894,0.0005084981094142085"
"0,-Dvar-,KurodaLuna,0.1,0.0017315823520287488,0.0001731582352028749"
"0,-Dvar-,LeraMyachina,0.075,0.006141306804223756,0.0004605980103167817"
"0,-Dvar-,MariVyaznikova,0.075,0.0027586259451919393,0.00020689694588939543"
"0,-Dvar-,Mirelianna,0.03333333333333333,0.001346575261567562,4.4885842052252065e-05"
"0,-Dvar-,Night_Ficwriter,0.1,0.00515024883289017,0.000515024883289017"
"0,-Dvar-,PaisovaViktoriya,0.05,0.0016858301208827475,8.429150604413738e-05"
"0,-Dvar-,Pandishon_7,0.05,0.0017256268250042117,8.62813412502106e-05"
"0,-Dvar-,PolinaYakushik,0.075,0.004089996689521369,0.0003067497517141027"
"0,-Dvar-,RimmaLazareva,0.1,0.004459783019994945,0.0004459783019994945"
"0,-Dvar-,ShatalovaViktoriya,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Dvar-,TanyaKuchevasova,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Dvar-,TanyaVerse,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Dvar-,Tia_Freire,0.03389830508474576,0.0055248618784530246,0.0001872834535068822"
"0,-Dvar-,UlyanaVerhoshapova,0.1,0.0015442719808650418,0.00015442719808650418"
"0,-Dvar-,VarvaraKraft,0.10810810810810811,0.01269892791506444,0.0013728570718988585"
"0,-Dvar-,YanaVicz,0.125,0.003917649192633599,0.0004897061490791998"
"0,-Dvar-,Zimasova,0.0375,0.00553216804466139,0.0002074563016748021"
"0,-Dvar-,_LINA_books24_,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Dvar-,adoninvladislaus,0.06451612903225806,0.0017256268250041007,0.00011133076290349036"
"0,-Dvar-,alelluya,0.05,0.003985844028797203,0.00019929220143986016"
"0,-Dvar-,alenvermouth,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Dvar-,arinamelnick49,0.075,0.005865153227565867,0.00043988649206743997"
"0,-Dvar-,dariarubin,0.05,0.006116265326381098,0.00030581326631905497"
"0,-Dvar-,dashaparshutina,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Dvar-,gomyangel,0.075,0.0014760155646608153,0.00011070116734956114"
